Mean3,StDev3,Variance3,CVariation3,Q1_3,Median3,Q3_3,IQR3,Minimum3,Maximum3,Range3
91.64166667,1.271396585,1.616449275,1.387356462,90.55,91.55,92.5,1.95,89.8,94.6,4.8
91.9125,1.22592024,1.502880435,1.333790551,90.825,91.85,92.875,2.05,89.9,94.6,4.7
90.53333333,1.026461489,1.053623188,1.133793986,89.425,90.5,91.275,1.85,89,92.4,3.4
90.94347826,1.243465132,1.546205534,1.367294451,90.2,90.4,91.7,1.5,89.1,94.2,5.1
93.20416667,1.206316408,1.455199275,1.294273047,92.3,93.15,94.275,1.975,91.2,96,4.8
91.7625,0.831349087,0.691141304,0.905979117,91.25,91.6,92.575,1.325,90.5,93.5,3
91.81666667,1.183093464,1.399710145,1.288538897,91.25,91.65,92,0.75,90.4,96.5,6.1
90.8375,1.005122748,1.010271739,1.106506397,89.95,90.85,91.375,1.425,89.3,93.3,4
87.5,1.159460144,1.344347826,1.325097308,86.625,87.4,88.35,1.725,85.6,90.3,4.7
87.98333333,1.025613991,1.051884058,1.165691219,87.2,87.9,88.675,1.475,86.4,90.3,3.9
85.6,1.261469123,1.591304348,1.473678882,84.575,85.95,86.5,1.925,82.8,87.3,4.5
89.225,0.795776897,0.63326087,0.891876601,88.8,89.1,89.8,1,87.9,90.9,3
